title,body
Go to the store,Go to the store on the corner of Mallard and Long
Eat some dinner,Yummy egg and bacon
Go for a run,A 10k should be fine
Fix the api,There is a bug in production
Clean my room,It is a mess
Document the api,The people need to know how it works
Read a book,Finish reading 'The Great Gatsby'
Write some tests,Make sure everything is covered
Call mom,Check in and see how she's doing
Plan a trip,Research destinations for summer vacation
Walk the dog,Take Fido for a walk in the park
